ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Spr_BOSS_Major_ChangePage,10,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,0,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,75,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,150,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,225,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,300,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,375,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,450,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,525,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,600,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,675,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,750,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,825,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,900,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,975,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,1050,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,1125,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,1200,0,75,45
graphics/Enemy/Boss_Major/Zpr_Major_PhaseChange_OverdriveEnd.png,1275,0,75,45
