ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Spr_BOSS_Major_RushReady,15,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,0,0,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,113,0,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,226,0,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,339,0,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,0,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,0,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,113,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,226,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,339,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,72,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,0,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,113,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,226,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,339,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,144,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,0,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,113,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,226,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,339,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,452,216,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,0,288,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,113,288,113,72
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,226,288,50,40
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_RushReady/Spr_BOSS_Major_RushReady.png,339,288,50,40
