ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Spr_BOSS_Major_SphereNormal1_AttackReady,13,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,0,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,92,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,184,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,276,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,368,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,460,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,552,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,644,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,736,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,828,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,920,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,1012,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,1104,0,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,0,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,92,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,184,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,276,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,368,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,460,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,552,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,644,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,736,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,828,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,920,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,1012,96,92,96
graphics/Enemy/Boss_Major/P1/Spr_BOSS_Major_SphereNormal1_AttackReady/Spr_BOSS_Major_SphereNormal1_AttackReady.png,1104,96,92,96
