ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Enemy_RifleMan_Dead,10,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Enemy/RifleMan/Dead.png,0,0,77,55
graphics/Enemy/RifleMan/Dead.png,77,0,77,55
graphics/Enemy/RifleMan/Dead.png,154,0,77,55
graphics/Enemy/RifleMan/Dead.png,231,0,77,55
graphics/Enemy/RifleMan/Dead.png,308,0,77,55
graphics/Enemy/RifleMan/Dead.png,385,0,77,55
graphics/Enemy/RifleMan/Dead.png,462,0,77,55
graphics/Enemy/RifleMan/Dead.png,539,0,77,55
graphics/Enemy/RifleMan/Dead.png,616,0,77,55
graphics/Enemy/RifleMan/Dead.png,693,0,77,55
graphics/Enemy/RifleMan/Dead.png,770,0,77,55
graphics/Enemy/RifleMan/Dead.png,847,0,77,55
graphics/Enemy/RifleMan/Dead.png,924,0,77,55
graphics/Enemy/RifleMan/Dead.png,1001,0,77,55
graphics/Enemy/RifleMan/Dead.png,1078,0,77,55
