ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Enemy_RifleMan_Idle,8,1,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,0,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,30,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,60,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,90,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,120,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,150,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,180,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,210,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,240,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,270,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,300,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,330,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,360,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,390,0,30,70
graphics/Enemy/RifleMan/Spr_ENE_Rifleman_Idle.png,420,0,30,70
