ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Player_Arm_Ceiling_Stick_Idle,12,1,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/Player_Arm/Arm_CeilingStick_Idle.png,0,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,27,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,54,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,81,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,108,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,135,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,162,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,189,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,216,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,243,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,270,0,27,29
graphics/Player_Arm/Arm_CeilingStick_Idle.png,297,0,27,29
