ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Player_Arm_CeilingStick_Moving,16,1,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/arm/Arm_CeilingStick_Moving.png,0,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,25,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,50,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,75,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,100,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,125,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,150,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,175,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,200,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,225,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,250,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,275,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,300,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,325,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,350,0,25,28
graphics/arm/Arm_CeilingStick_Moving.png,375,0,25,28
