ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Arm_ChargeDashChargeEnd.png,9,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,0,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,38,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,76,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,114,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,152,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,190,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,228,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,266,0,38,36
graphics/player/Charge_Dash/Arm_ChargeDashChargeEnd.png,304,0,38,36
