ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Arm_Charge_Dash_End_Ground,8,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,0,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,31,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,62,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,93,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,124,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,155,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,186,0,31,31
graphics/player/Charge_Dash/Arm_ChargeDashEndGround.png,217,0,31,31
