ID,FPS,LOOPTYPE 0 : SINGLE 1 : LOOP,,
Player_Charge_Dash_End_Ground,8,0,,
,,,,
TEXTURE,X,Y,WIDTH,HEIGHT
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,0,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,40,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,80,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,120,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,160,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,200,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,240,0,40,55
graphics/player/Charge_Dash/Player_ChargeDashEndGround.png,280,0,40,55
